ua, Яке слово підходить під переклад з англійського 'навколишнє середовище'?, survival, environment, landscape, envy, environment
ua, Яке слово підходить під переклад з англійського 'цілеспрямований'?, rapid, calm, ambitious, pushy, ambitious
ua, Яке слово підходить під переклад з англійського 'лаконічний'?, conscious, concise, concrete, competitive, concise
ua, Яке слово підходить під переклад з англійського 'головний'?, principal, basic, right, damp, principal
ua, Яке слово підходить під переклад з англійського 'натовп'?, rug, boulder, scam, rabble, rabble
en, What is the Ukrainian for 'environment'?, виживання, навколишнє середовище, пейзаж, заздрість, навколишнє середовище
en, What is the Ukrainian for 'ambitious'?, швидкий, спокійний, цілеспрямований, настирливий, цілеспрямований
en, What is the Ukrainian for 'concise'?, свідомий, лаконічний, бетонний, змагальний, лаконічний
en, What is the Ukrainian for 'principal'?, головний, основний, правильний, вологий, головний
en, What is the Ukrainian for 'rabble'?, килимок, валун, афера, натовп, натовп
